[05/13/26 20:47:48] [INFO] received Windows console close event; shutting log-core down
[05/14/26 18:47:27] [INFO] received Windows console close event; shutting log-core down
[05/14/26 19:24:04] [INFO] received Windows console close event; shutting log-core down
[05/14/26 19:29:21] [INFO] received Windows console close event; shutting log-core down
[05/14/26 19:54:05] [INFO] received Windows console close event; shutting log-core down
[05/14/26 20:06:39] [INFO] received Windows console close event; shutting log-core down
[05/14/26 20:53:05] [INFO] received Windows console close event; shutting log-core down
[05/14/26 20:55:11] [INFO] received Windows console close event; shutting log-core down
[05/14/26 20:55:29] [INFO] received Windows console close event; shutting log-core down
[05/14/26 21:13:33] [INFO] received Windows console close event; shutting log-core down
[05/14/26 21:33:18] [INFO] received Windows console close event; shutting log-core down
[05/14/26 22:27:08] [INFO] received Windows console close event; shutting log-core down
[05/14/26 23:26:08] [INFO] received Windows console close event; shutting log-core down
[05/15/26 01:27:11] [INFO] received Windows console close event; shutting log-core down
[05/15/26 11:35:48] [INFO] received Windows console close event; shutting log-core down
[05/15/26 11:38:58] [INFO] received Windows console close event; shutting log-core down
[05/15/26 12:20:55] [INFO] received Windows console close event; shutting log-core down
[05/15/26 12:27:45] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:04:59] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:10:01] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:14:59] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:16:34] [INFO] received Windows console close event; shutting log-core down
[05/15/26 13:46:27] [INFO] received Windows console close event; shutting log-core down
[05/15/26 14:21:45] [INFO] received Windows console close event; shutting log-core down
[05/15/26 14:36:01] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:05:42] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:32:21] [INFO] received Windows console close event; shutting log-core down
[05/15/26 15:41:39] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:00:02] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:03:54] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:11:44] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:16:03] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:21:52] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:38:34] [INFO] received Windows console close event; shutting log-core down
[05/15/26 16:59:55] [INFO] received Windows console close event; shutting log-core down
[05/15/26 17:02:31] [INFO] received Windows console close event; shutting log-core down
[05/15/26 17:14:43] [INFO] received Windows console close event; shutting log-core down
[05/15/26 17:25:02] [INFO] received Windows console close event; shutting log-core down
[05/15/26 17:53:40] [INFO] received Windows console close event; shutting log-core down
[05/15/26 17:59:28] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:01:24] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:02:13] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:05:53] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:08:28] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:09:24] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:13:36] [INFO] received Windows console close event; shutting log-core down
[05/15/26 18:16:34] [INFO] received Windows console close event; shutting log-core down
[05/15/26 19:24:11] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:10:24] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:23:48] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:25:41] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:27:50] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:28:40] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:37:35] [INFO] received Windows console close event; shutting log-core down
[05/16/26 00:39:07] [INFO] received Windows console close event; shutting log-core down
[05/16/26 01:17:03] [INFO] received Windows console close event; shutting log-core down
[05/16/26 01:28:56] [INFO] received Windows console close event; shutting log-core down
[05/16/26 02:38:14] [INFO] received Windows console close event; shutting log-core down
[05/16/26 04:01:26] [INFO] received Windows console close event; shutting log-core down
[05/16/26 10:16:35] [INFO] received Windows console close event; shutting log-core down
[05/16/26 10:32:43] [INFO] received Windows console close event; shutting log-core down
[05/16/26 11:04:10] [INFO] received Windows console close event; shutting log-core down
[05/17/26 21:11:42] [INFO] received Windows console close event; shutting log-core down
[05/17/26 22:47:30] [INFO] received Windows console close event; shutting log-core down
[05/17/26 23:01:35] [INFO] received Windows console close event; shutting log-core down
[05/17/26 23:34:57] [INFO] received Windows console close event; shutting log-core down
[05/18/26 00:00:13] [INFO] received Windows console close event; shutting log-core down
[05/18/26 01:35:17] [INFO] received Windows console close event; shutting log-core down
[05/18/26 01:52:09] [INFO] received Windows console close event; shutting log-core down
[05/18/26 02:25:35] [INFO] received Windows console close event; shutting log-core down
[05/18/26 03:32:37] [INFO] received Windows console close event; shutting log-core down
[05/18/26 03:32:38] [INFO] received Windows console close event; shutting log-core down
[05/18/26 03:57:53] [INFO] received Windows console close event; shutting log-core down
[05/18/26 04:33:00] [INFO] received Windows console close event; shutting log-core down
[05/18/26 04:36:20] [INFO] received Windows console close event; shutting log-core down
[05/18/26 04:40:07] [INFO] received Windows console close event; shutting log-core down
[05/18/26 08:57:07] [INFO] received Windows console close event; shutting log-core down
[05/18/26 09:24:37] [INFO] received Windows console close event; shutting log-core down
